Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.29968731948345,-0.283392114189934,0.0150546907286856,0,0,0,2.34759592693503,0.015530206027633,4.639400975453E-09,-4.93691539468484E-08,0.0155302069570008,1.66552412330082E-08,0.0296746402403189,0,0,0,0,0,0,package://Rover/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/base_link.STL,,pipe h -3;elbow-4;pipe h -4;elbow-1;pipe h -1;elbow-2;pipe h -2;elbow-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1,-2.96759241261157E-06,-3.56797101691564E-06,0.0752200553446624,0,0,0,0.0124427599561808,2.88418476788695E-05,-6.3944784898376E-10,1.80748708345529E-09,2.88418985524994E-05,2.83899232833159E-09,1.79907701813498E-07,0,0,0,0,0,0,package://Rover/meshes/j1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j1.STL,,bolt1-4,Origin_j1j,Axis_j1j,j1j,fixed,-0.6407,-0.17089,0.017157,1.6143,-0.9734,1.5349,base_link,0,0,1,,,,,,,,,,,,
j2,-4.02273658009489E-06,3.72978937351887E-06,0.0752202712419333,0,0,0,0.0124428349830095,2.88420137667292E-05,-6.38976900836879E-10,2.50481628728732E-09,2.88420685680027E-05,-1.61918499360895E-09,1.80003992182993E-07,0,0,0,0,0,0,package://Rover/meshes/j2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j2.STL,,bolt1-6,Origin_j2j,Axis_j2j,j2j,fixed,-0.6407,-0.28339,0.017157,1.6003,0.59568,1.5874,base_link,0,0,1,,,,,,,,,,,,
j3,2.40487493663455E-06,5.31688107424655E-06,0.0752233796482584,0,0,0,0.0124439057039495,2.8843781866585E-05,-6.36853067712029E-10,-1.42399288203006E-09,2.88438358113457E-05,-2.62458879680516E-09,1.79926169745957E-07,0,0,0,0,0,0,package://Rover/meshes/j3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j3.STL,,bolt1-8,Origin_j3j,Axis_j3j,j3j,fixed,-0.6407,-0.39589,0.017157,-1.6324,1.1627,-1.6274,base_link,0,0,1,,,,,,,,,,,,
j4,-1.5190385564412E-06,7.75421974019697E-07,0.0752211304714997,0,0,0,0.0124431312114767,2.88424934018769E-05,-6.61314791050855E-10,9.53139821032617E-10,2.88425478560905E-05,1.7662674540895E-10,1.79959495452164E-07,0,0,0,0,0,0,package://Rover/meshes/j4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j4.STL,,bolt1-11,Origin_j4j,Axis_j4j,j4j,fixed,0.042684,-0.17089,0.014366,-1.5629,-0.044424,1.5704,base_link,0,0,1,,,,,,,,,,,,
j5,-1.51837272321931E-06,7.82827667751562E-07,0.0752211314946248,0,0,0,0.0124431315637828,2.8842494014167E-05,-6.61313567795625E-10,9.52780391010385E-10,2.88425484719197E-05,1.72093086640139E-10,1.79959544238957E-07,0,0,0,0,0,0,package://Rover/meshes/j5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j5.STL,,bolt1-10,Origin_j5j,Axis_j5j,j5j,fixed,0.042684,-0.28339,0.014366,-1.5629,-0.04883,1.5704,base_link,0,0,1,,,,,,,,,,,,
j6,-1.43669483909648E-06,1.16870107200184E-06,0.0752212063131131,0,0,0,0.0124431573300757,2.88425383986866E-05,-6.61237350132657E-10,9.05290738213497E-10,2.88425930290167E-05,-6.43592825617656E-11,1.79962020429486E-07,0,0,0,0,0,0,package://Rover/meshes/j6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/j6.STL,,bolt1-9,Origin_j6j,Axis_j6j,j6j,fixed,0.042684,-0.39589,0.014366,-1.5626,-0.28303,1.5685,base_link,0,0,1,,,,,,,,,,,,
c1,5.67752564961665E-08,-7.50847038016866E-09,0.225000029977437,0,0,0,0.410430097030497,0.0070579338237649,4.22623146548173E-10,-2.31977483593179E-09,0.00705640614879541,3.5007746864512E-11,0.000210358543028732,0,0,0,0,0,0,package://Rover/meshes/c1.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/c1.STL,,pipe h -5,Origin_c1j,Axis_c1j,c1j,fixed,-0.61421,-0.058392,0.01651,1.5708,0.024438,0,base_link,1,0,0,,,,,,,,,,,,
c2,5.67752567563751E-08,-7.50847032812696E-09,0.225000029977437,0,0,0,0.410430097030497,0.0070579338237649,4.22623146558338E-10,-2.31977484692852E-09,0.00705640614879542,3.50077453179087E-11,0.000210358543028732,0,0,0,0,0,0,package://Rover/meshes/c2.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/c2.STL,,pipe h -6,Origin_c2j,Axis_c2j,c2j,fixed,0.016185,-0.058392,0.014575,1.5708,0.0078878,0,base_link,1,0,0,,,,,,,,,,,,
cj1,0.000131826367471173,0.00664780238235534,3.55632457926802E-07,0,0,0,0.109353843562398,8.42944567415472E-05,-1.10261596875925E-07,1.83860497119778E-11,0.000130111255859567,-2.18138180307091E-11,0.000133913187896849,0,0,0,0,0,0,package://Rover/meshes/cj1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/cj1.STL,,45 elbow saketh fnl 1 (2 holes)-1,Origin_cj1j,Axis_cj1j,cj1j,fixed,-0.61421,-0.033392,0.01651,-1.534,-0.39246,-1.5849,base_link,0.022336,-0.053925,-0.9983,,,,,,,,,,,,
cj2,0.000131820104037492,0.00664781764334291,3.36388961217488E-07,0,0,0,0.109353828693636,8.42944502187915E-05,-1.10262752978596E-07,1.9648388055317E-11,0.000130111272001604,-3.30455749500826E-11,0.000133913161375556,0,0,0,0,0,0,package://Rover/meshes/cj2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/cj2.STL,,45 elbow saketh fnl 1 (2 holes)-2,Origin_cj2j,Axis_cj2j,cj2j,fixed,0.016185,-0.033392,0.014575,-1.4072,-0.38797,-1.6331,base_link,0.06066,-0.14645,-0.98736,0,0,0,0,,,,,,,,
cj3,-1.04072922590959E-06,0.00667385000080523,2.04672582215792E-07,0,0,0,0.109747781539409,8.46147711907554E-05,-1.28966450767691E-10,7.98226318284799E-12,0.000130955724543017,-3.09556056201821E-11,0.000134483633272278,0,0,0,0,0,0,package://Rover/meshes/cj3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/cj3.STL,,45 elbow fnl-1,Origin_cj3j,Axis_cj3j,cj3j,fixed,-0.61421,-0.53339,0.01651,-1.3008,0.37983,-1.4686,base_link,0.10381,0.25063,0.9625,,,,,,,,,,,,
cj4,-1.03940842066663E-06,0.00667384790392811,2.0580490882674E-07,0,0,0,0.109747784324217,8.46147711871583E-05,-1.28853620842708E-10,7.86064004120761E-12,0.000130955724888274,-3.08972531370365E-11,0.000134483633389463,0,0,0,0,0,0,package://Rover/meshes/cj4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover/meshes/cj4.STL,,45 elbow fnl-2,Origin_cj4j,Axis_cj4j,cj4j,fixed,0.016185,-0.53339,0.014575,-1.3176,0.38137,-1.4748,base_link,0.091906,0.22188,0.97073,0,0,0,0,,,,,,,,
c3,-3.33066907387547E-16,1.11022302462516E-16,0.25,0,0,0,0.459457925587507,0.0096897762098382,0,1.02728155843002E-17,0.00968977620983819,-2.11419423634673E-18,0.000235472186863597,0,0,0,0,0,0,package://Rover/meshes/c3.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/c3.STL,,back pipe-1,Origin_c3j,Axis_c3j,c3j,fixed,-0.60983,-0.55107,-0.00061725,2.3347,0.13923,0.37497,base_link,0.92463,0.32903,0.19182,0,0,0,0,,,,,,,,
c4,6.66133814775094E-16,-8.60422844084496E-16,0.25,0,0,0,0.459457925587507,0.00968977620983821,3.68628738645072E-18,-2.64070991636001E-17,0.0096897762098382,3.27361293454842E-17,0.000235472186863603,0,0,0,0,0,0,package://Rover/meshes/c4.STL,1,1,1,1,0,0,0,0,0,0,package://Rover/meshes/c4.STL,,back pipe-2,Origin_c4j,Axis_c4j,c4j,fixed,0.020295,-0.55107,-0.0026187,2.4575,0.47916,0.74303,base_link,0.6571,0.73442,0.16982,0,0,0,0,,,,,,,,
